time,open,high,low,close,tick_volume,spread,real_volume
2022-03-21,41207.71,41550.47,40500.0,41245.51,46853,900,0
2022-03-22,41097.68,43366.76,40870.27,42645.67,49663,900,0
2022-03-23,42643.91,42902.58,41731.26,42345.79,55893,900,0
2022-03-24,42297.5,44243.51,42236.63,43874.25,59638,900,0
2022-03-25,43903.38,45133.76,43578.76,44569.01,63318,900,0
2022-03-26,44503.91,44804.52,44081.57,44589.26,34724,900,0
2022-03-27,44415.01,46624.51,44377.3,46142.61,38030,900,0
2022-03-28,46027.51,48230.76,45841.21,47984.02,61058,0,0
2022-03-29,48046.76,48153.24,46894.09,47365.44,56314,900,0
2022-03-30,47497.68,47716.55,46509.42,47232.25,54976,900,0
2022-03-31,47197.49,47623.39,45499.5,45782.89,62556,900,0
2022-04-01,45712.51,46732.15,44210.36,46137.43,68393,900,0
2022-04-02,46213.51,47206.65,45600.18,46227.13,38924,900,0
2022-04-03,46283.64,46780.5,45537.52,46370.16,43322,900,0
2022-04-04,46358.5,47446.23,45118.75,46304.26,70721,900,0
2022-04-05,46428.51,47198.55,45465.46,45796.76,58885,900,0
2022-04-06,45846.5,46056.79,43184.48,43924.51,77052,900,0
2022-04-07,43813.34,44018.26,42714.42,43559.26,71884,900,0
2022-04-08,43487.0,43984.82,42409.38,42801.26,77949,900,0
2022-04-09,42746.74,42828.12,42105.22,42454.63,45820,900,0
2022-04-10,42565.18,43433.76,42437.74,43132.2,36560,900,0
2022-04-11,43106.25,43197.53,39458.26,39835.18,82409,900,0
2022-04-12,39834.26,40698.19,39174.01,39490.65,73019,900,0
2022-04-13,39536.5,41560.51,39480.49,41247.73,67150,900,0
2022-04-14,41230.73,41502.29,39539.78,39872.06,85938,900,0
2022-04-15,39845.34,40832.47,39765.71,40382.26,43596,900,0
2022-04-16,40391.16,40705.01,39994.51,40347.73,25040,900,0
2022-04-17,40556.71,40679.77,39810.27,40271.94,36345,900,0
2022-04-18,40219.95,41010.61,38533.22,40675.47,64262,900,0
2022-04-19,40774.62,41760.4,40579.25,41262.83,60484,900,0
